시군구,행정구역,2022 전체 점포수 외식업 패스트푸드,2022 전체 점포수 외식업 패스트푸드 등급,전체 점포수 외식업 패스트푸드 변화율,2022 프렌차이즈 점포수 외식업 패스트푸드,2022 프렌차이즈 점포수 외식업 패스트푸드 등급,프렌차이즈 점포수 외식업 패스트푸드 변화율,2022 일반 점포수 외식업 패스트푸드,2022 일반 점포수 외식업 패스트푸드 등급,일반 점포수 외식업 패스트푸드 변화율,2022 전체 점포수 외식업 커피-음료,2022 전체 점포수 외식업 커피-음료 등급,전체 점포수 외식업 커피-음료 변화율,2022 프렌차이즈 점포수 외식업 커피-음료,2022 프렌차이즈 점포수 외식업 커피-음료 등급,프렌차이즈 점포수 외식업 커피-음료 변화율,2022 일반 점포수 외식업 커피-음료,2022 일반 점포수 외식업 커피-음료 등급,일반 점포수 외식업 커피-음료 변화율,2022 전체 점포수 소매업 편의점,2022 전체 점포수 소매업 편의점 등급,전체 점포수 소매업 편의점 변화율,2022 프렌차이즈 점포수 소매업 편의점,2022 프렌차이즈 점포수 소매업 편의점 등급,프렌차이즈 점포수 소매업 편의점 변화율,2022 일반 점포수 소매업 편의점,2022 일반 점포수 소매업 편의점 등급,일반 점포수 소매업 편의점 변화율,2022 전체 점포수 소매업 주유소,2022 전체 점포수 소매업 주유소 등급,전체 점포수 소매업 주유소 변화율,2022 프렌차이즈 점포수 소매업 주유소,2022 프렌차이즈 점포수 소매업 주유소 등급,프렌차이즈 점포수 소매업 주유소 변화율,2022 일반 점포수 소매업 주유소,2022 일반 점포수 소매업 주유소 등급,일반 점포수 소매업 주유소 변화율,2022 신생기업 1년 생존율 외식업 패스트푸드,2022 신생기업 3년 생존율 외식업 패스트푸드,2022 신생기업 5년 생존율 외식업 패스트푸드,2022 신생기업 1년 생존율 외식업 커피-음료,2022 신생기업 3년 생존율 외식업 커피-음료,2022 신생기업 5년 생존율 외식업 커피-음료,2022 신생기업 1년 생존율 소매업 편의점,2022 신생기업 3년 생존율 소매업 편의점,2022 신생기업 5년 생존율 소매업 편의점,2022 신생기업 1년 생존율 소매업 주유소,2022 신생기업 3년 생존율 소매업 주유소,2022 신생기업 5년 생존율 소매업 주유소,2022 최근 10년기준 외식업 패스트푸드,2022 최근 10년기준 외식업 패스트푸드 등급,최근 10년기준 외식업 패스트푸드 변화율,2022 최근 10년기준 외식업 커피-음료,2022 최근 10년기준 외식업 커피-음료 등급,최근 10년기준 외식업 커피-음료 변화율,2022 최근 10년기준 소매업 편의점,2022 최근 10년기준 소매업 편의점 등급,최근 10년기준 소매업 편의점 변화율,2022 최근 10년기준 소매업 주유소,2022 최근 10년기준 소매업 주유소 등급,최근 10년기준 소매업 주유소 변화율,2022 개업수 외식업 패스트푸드,2022 개업수 외식업 패스트푸드 등급,2022 폐업수 외식업 패스트푸드,2022 폐업수 외식업 패스트푸드 등급,2022 개업률 외식업 패스트푸드,2022 개업률 외식업 패스트푸드 등급,2022 폐업률 외식업 패스트푸드,2022 폐업률 외식업 패스트푸드 등급,2022 개업수 외식업 커피-음료,2022 개업수 외식업 커피-음료 등급,2022 폐업수 외식업 커피-음료,2022 폐업수 외식업 커피-음료 등급,2022 개업률 외식업 커피-음료,2022 개업률 외식업 커피-음료 등급,2022 폐업률 외식업 커피-음료,2022 폐업률 외식업 커피-음료 등급,2022 개업수 소매업 편의점,2022 개업수 소매업 편의점 등급,2022 폐업수 소매업 편의점,2022 폐업수 소매업 편의점 등급,2022 개업률 소매업 편의점,2022 개업률 소매업 편의점 등급,2022 폐업률 소매업 편의점,2022 폐업률 소매업 편의점 등급,2022 개업수 소매업 주유소,2022 개업수 소매업 주유소 등급,2022 폐업수 소매업 주유소,2022 폐업수 소매업 주유소 등급,2022 개업률 소매업 주유소,2022 개업률 소매업 주유소 등급,2022 폐업률 소매업 주유소,2022 폐업률 소매업 주유소 등급,2022 길단위 유동인구,2022 길단위 유동인구 등급,2022 주거인구,2022 주거인구 등급,2022 직장인구,2022 직장인구 등급,2022 소득분위,2022 소득분위 등급,2022 가구수,2022 가구수 등급,2022 환산임대료 전체,2022 환산임대료 전체 등급,환산임대료 전체 변화율
송파구,가락본동,21,20.5,3,13,13.9,3,8,34.0,0,100,13.4,4,77,13.7,4,23,16.5,0,39,14.6,-4,11,10.4,4,28,18.2,-8,1,73.6,0,1,73.6,0,0,100.0,0,100,50,,85.7,70,33.3,88.9,50,33.3,,,,4.7,51.2,0.2,4.0,30.4,2.2,4.9,63.0,1.4,6.2,66.5,1.6,0,100.0,0,100.0,0.0,100.0,0.0,100.0,3,46.9,3,34.9,3.0,74.1,3.0,57.3,1,46.2,2,15.8,2.6,41.5,5.1,19.8,0,100.0,0,100.0,0.0,100.0,0.0,100.0,80101.8868734655,22.6,264.2169318984664,39.2,272.7945165911371,7.3,"7분위:2,983,559~3,741,082원",59.2,12010,31.4,121576,24.5,31.7
송파구,가락1동,4,87.7,0,3,75.0,0,1,95.5,0,24,76.2,-4,18,75.5,0,6,72.9,-4,9,92.0,-1,1,94.6,0,8,88.7,-1,1,73.6,0,1,73.6,0,0,100.0,0,100,,,66.7,63.6,100,100,50,,,,,2.3,98.6,15.1,2.2,99.8,38.7,4.6,74.8,5.3,28.8,0.7,3.6,0,100.0,1,32.5,0.0,100.0,25.0,3.5,0,100.0,0,100.0,0.0,100.0,0.0,100.0,0,100.0,0,100.0,0.0,100.0,0.0,100.0,0,100.0,0,100.0,0.0,100.0,0.0,100.0,9299.861417782286,93.4,204.9852760998352,56.6,43.5638837500746,47.6,"9분위:4,890,362~6,945,811원",9.2,9908,52.1,192420,2.6,-11.3
송파구,가락2동,16,33.7,-4,7,39.2,-3,9,29.2,-1,58,34.7,6,49,31.1,5,9,57.3,1,23,46.0,2,4,64.6,1,19,40.8,1,8,6.4,-1,8,6.4,-1,0,100.0,0,100,,25,92.3,64.3,28.6,100,100,33.3,100,100,0,5.8,13.7,2.8,3.6,57.5,1.7,5.4,38.2,6.2,8.2,47.4,3.6,1,32.8,2,9.7,6.3,20.8,12.5,10.8,3,46.9,2,51.9,5.2,48.1,3.4,50.9,0,100.0,1,40.1,0.0,100.0,4.3,25.7,0,100.0,0,100.0,0.0,100.0,0.0,100.0,70517.67718672415,31.1,353.436674635488,14.9,108.89057091804888,19.6,"8분위:3,741,083~4,890,361원",26.7,12379,27.8,98224,50.0,34.4
송파구,문정1동,11,48.6,-1,4,63.7,0,7,39.6,-1,48,43.2,7,39,40.3,7,9,57.3,0,17,67.0,1,4,64.6,0,13,67.0,1,1,73.6,0,1,73.6,0,0,100.0,0,100,,33.3,87.5,53.8,0,100,100,0,,,,4.3,66.0,10.2,3.2,79.7,1.3,5.0,61.3,4.9,6.4,64.6,3.2,0,100.0,0,100.0,0.0,100.0,0.0,100.0,3,46.9,1,75.2,6.3,36.8,2.1,67.5,0,100.0,0,100.0,0.0,100.0,0.0,100.0,0,100.0,0,100.0,0.0,100.0,0.0,100.0,82686.93293795848,21.2,337.05596859946945,18.2,578.7487113636627,1.9,"7분위:2,983,559~3,741,082원",59.2,8431,66.3,96190,52.6,16.6
송파구,문정2동,38,3.8,-1,22,5.0,-2,16,5.0,1,240,3.1,15,170,3.3,15,70,2.6,0,63,3.3,-1,11,10.4,1,52,3.3,-2,6,15.6,-1,6,15.6,-1,0,100.0,0,77.8,100,19,62,47.4,37.3,66.7,62.5,54.2,,100,100,3.1,95.3,7.8,3.1,86.1,3.7,4.0,92.0,4.5,7.4,55.9,4.6,2,9.9,1,32.5,5.3,24.1,2.6,31.1,14,2.1,11,1.9,5.8,40.8,4.6,34.2,2,14.2,3,5.9,3.2,36.3,4.8,23.1,0,100.0,0,100.0,0.0,100.0,0.0,100.0,7946.923566300101,94.8,125.13135294898626,78.8,173.61415047676564,12.3,"8분위:3,741,083~4,890,361원",26.7,15761,10.6,164099,5.7,42.6
송파구,장지동,6,76.9,0,1,95.0,-1,5,54.5,1,47,44.8,3,39,40.3,2,8,60.6,1,17,67.0,-1,5,50.5,0,12,71.0,-1,4,29.7,0,4,29.7,0,0,100.0,0,0,,,70,71.4,55.6,100,33.3,0,100,,,4.4,62.0,-2.9,3.7,48.1,2.8,5.4,40.3,0.6,9.8,29.7,5.4,2,9.9,1,32.5,33.3,0.9,16.7,7.5,1,84.0,3,34.9,2.1,80.2,6.4,20.3,1,46.2,3,5.9,5.9,18.2,17.6,2.1,0,100.0,0,100.0,0.0,100.0,0.0,100.0,53758.65954556681,44.8,231.84736972091875,49.3,52.24283773771302,39.9,"7분위:2,983,559~3,741,082원",59.2,12096,30.0,100013,46.5,56.6
송파구,위례동,12,43.6,1,6,47.4,3,6,45.0,-2,43,47.6,7,27,55.7,5,16,31.4,2,20,55.9,-2,6,41.7,-2,14,61.3,0,3,39.2,0,3,39.2,0,0,100.0,0,50,50,33.3,73.3,30,35.7,70,66.7,0,100,66.7,,2.4,98.1,-2.1,1.9,100.0,7.2,2.0,100.0,12.7,5.0,74.8,13.7,2,9.9,1,32.5,16.7,5.7,8.3,17.0,3,46.9,2,51.9,7.0,29.2,4.7,33.5,0,100.0,1,40.1,0.0,100.0,5.0,21.0,0,100.0,0,100.0,0.0,100.0,0.0,100.0,6188.008470914636,96.7,117.11271699295472,81.1,4.838456094722581,98.3,"8분위:3,741,083~4,890,361원",26.7,10019,51.2,146336,10.1,96.6
송파구,잠실본동,34,5.2,1,17,7.8,1,17,4.2,0,94,15.1,2,60,22.9,2,34,8.3,0,53,6.4,0,14,5.4,1,39,7.3,-1,5,21.2,0,5,21.0,0,0,100.0,0,80,80,33.3,72.7,61.5,20,75,85.7,11.1,,0,,4.7,49.5,5.0,3.7,52.6,2.1,5.9,19.3,3.2,12.9,11.6,4.5,0,100.0,0,100.0,0.0,100.0,0.0,100.0,4,32.3,3,34.9,4.3,58.3,3.2,54.7,0,100.0,1,40.1,0.0,100.0,1.9,38.0,0,100.0,0,100.0,0.0,100.0,0.0,100.0,66188.52433765988,35.4,251.35522166312697,43.6,82.92838779011073,25.2,"7분위:2,983,559~3,741,082원",59.2,15419,12.3,125340,20.5,50.9
송파구,잠실2동,11,48.6,1,8,33.0,1,3,74.8,0,35,57.1,2,28,53.5,1,7,65.6,1,20,55.9,1,3,75.0,0,17,49.5,1,0,100.0,0,0,100.0,0,0,100.0,0,50,,66.7,50,50,50,100,,0,,,,4.3,67.5,2.0,3.7,50.7,1.8,6.7,6.4,1.8,0.0,100.0,,0,100.0,1,32.5,0.0,100.0,9.1,16.0,2,63.0,3,34.9,5.7,41.5,8.6,10.4,1,46.2,0,100.0,5.0,21.7,0.0,100.0,0,100.0,0,100.0,0.0,100.0,0.0,100.0,6737.923708701416,96.0,125.2478036335063,78.5,26.99942280202248,68.9,"9분위:4,890,362~6,945,811원",9.2,11899,32.3,333330,0.7,59.0
송파구,잠실3동,20,21.5,-1,9,28.1,-1,11,21.0,0,44,46.9,1,28,53.5,1,16,31.4,0,16,69.3,-2,8,23.8,-2,8,88.7,0,0,100.0,0,0,100.0,0,0,100.0,0,,100,25,85.7,40,60,33.3,,0,,,,6.6,5.4,5.4,6.2,0.5,5.6,7.0,4.5,6.6,0.0,100.0,,0,100.0,0,100.0,0.0,100.0,0.0,100.0,0,100.0,0,100.0,0.0,100.0,0.0,100.0,0,100.0,0,100.0,0.0,100.0,0.0,100.0,0,100.0,0,100.0,0.0,100.0,0.0,100.0,21263.124986309987,80.4,234.3995279352544,47.9,144.90502617529984,15.8,"9분위:4,890,362~6,945,811원",9.2,12130,29.2,222474,1.7,-3.4
